Variable_1,Variable_2,FDR,Copies
X46P.RES,clbH,7.57732568689374e-13,26
X105P.RES,clbH,7.57732568689374e-13,26
X13P.RES,clbF,8.02305842631261e-07,70
X46P.RES,clbF,7.57732568689374e-13,26
X105P.RES,clbF,7.57732568689374e-13,26
X13P.RES,clbN,8.02305842631261e-07,70
X46P.RES,clbN,7.57732568689374e-13,26
X105P.RES,clbN,7.57732568689374e-13,26
X13P.RES,clbD,8.02305842631261e-07,70
X46P.RES,clbD,7.57732568689374e-13,26
X105P.RES,clbD,7.57732568689374e-13,26
X13P.RES,clbA,8.02305842631261e-07,70
X46P.RES,clbA,7.57732568689374e-13,26
X105P.RES,clbA,7.57732568689374e-13,26
X13P.RES,clbQ,8.02305842631261e-07,70
X46P.RES,clbQ,7.57732568689374e-13,26
X105P.RES,clbQ,7.57732568689374e-13,26
X13P.RES,clbE,3.14708417629781e-06,70
X46P.RES,clbE,1.19731469233955e-11,26
X105P.RES,clbE,1.19731469233955e-11,26
X13P.RES,clbI,3.14708417629781e-06,70
X46P.RES,clbI,1.19731469233955e-11,26
X105P.RES,clbI,1.19731469233955e-11,26
X29P.NTP_transf_2,pcoA,0.00836870813545849,27
X46P.RES,pcoA,0.000105578578869746,26
X48P.CcdB,pcoA,0.000250135199212689,57
X105P.RES,pcoA,0.000105578578869746,26
X29P.NTP_transf_2,pcoE,0.00952199131862162,27
X46P.RES,pcoE,0.000123827245582872,26
X48P.CcdB,pcoE,0.000328823446748331,57
X105P.RES,pcoE,0.000123827245582872,26
X46P.RES,pcoS,0.000301791361707259,26
X105P.RES,pcoS,0.000301791361707259,26
X29P.NTP_transf_2,pcoC,0.00836870813545849,27
X46P.RES,pcoC,0.00160869221263308,26
X48P.CcdB,pcoC,0.00105327567630681,57
X105P.RES,pcoC,0.00160869221263308,26
X29P.NTP_transf_2,pcoD,0.00836870813545849,27
X46P.RES,pcoD,0.00160869221263308,26
X48P.CcdB,pcoD,0.00105327567630681,57
X105P.RES,pcoD,0.00160869221263308,26
X46P.RES,pcoB,0.000145748546675207,26
X48P.CcdB,pcoB,0.00172045339486629,57
X105P.RES,pcoB,0.000145748546675207,26
X29P.NTP_transf_2,pcoR,0.00836870813545849,27
X46P.RES,pcoR,0.00160869221263308,26
