Variable_1,Variable_2,FDR,Copies
X37H.AntA.Bro.N,mrkH2,0.00502116267168394,37
X7H.Fic,mrkI,6.76817246604634e-08,240
X17H.RelE,mrkI,1.46325854508376e-05,249
X21H.PIN,mrkI,6.35154997706091e-12,237
X26H.ParE_toxin,mrkI,2.32906507970479e-08,230
X37H.AntA.Bro.N,mrkI,0.000485948013761069,37
X21H.PIN,mrkI2,3.69964872510327e-19,237
X25H.Gp49,mrkI2,2.48812546815132e-09,40
X37H.AntA.Bro.N,mrkI2,0.00620561762137163,37
X64H.Fic,mrkI2,0.00660368892002029,5
X2H.PemK_toxin,mrkI3,1.20633387016551e-06,64
X9H.Zeta_toxin,mrkI3,0.000211171841469152,95
X17H.RelE,mrkI3,0.000175092509958535,249
X25H.Gp49,mrkI3,2.00092600570598e-09,40
X33H.RelE,mrkI3,4.09269445906472e-10,26
X6H.Gp49,kfuB,4.25981648972711e-06,120
X21H.PIN,kfuB,8.82679547854826e-05,237
X25H.Gp49,kfuB,7.15593257008929e-12,40
X33H.RelE,kfuB,3.32478231132912e-07,26
X42H.YdaT_toxin,kfuB,0.00766559211869584,63
X6H.Gp49,kfuC,4.09269445906472e-10,120
X15H.HigB_toxin,kfuC,0.00036004699818569,96
X33H.RelE,kfuC,3.07444814311107e-05,26
X6H.Gp49,kfuA,2.61048005804729e-09,120
X21H.PIN,kfuA,0.000211171841469152,237
X25H.Gp49,kfuA,3.68113012463432e-10,40
X33H.RelE,kfuA,1.19415153294432e-06,26
X3H.RES,pbrA,1.66859569630923e-09,70
X4H.PIN,pbrA,2.91765632686666e-05,139
X12H.RES,pbrA,3.11771256321169e-22,26
X3H.RES,pbrR,4.03582232826732e-10,70
X4H.PIN,pbrR,0.000318310426733123,139
X12H.RES,pbrR,1.16103297137707e-23,26
X3H.RES,pbrBC,2.00447093372897e-10,70
X4H.PIN,pbrBC,0.000950335149744909,139
X12H.RES,pbrBC,1.12462563632385e-20,26
X12H.RES,mceI,6.877778028892e-05,26
X12H.RES,mceG,6.877778028892e-05,26
X12H.RES,mceJ,6.877778028892e-05,26
X12H.RES,mceH,0.000472530536158694,26
X42H.YdaT_toxin,mceH,0.00648547473276165,63
X12H.RES,mceD,8.31408135660474e-06,26
